Year,Month,Alaska Airlines,Allegiant Airlines,American Airlines,Delta Airlines,Frontier,Hawaiian,JetBlue,Southwest,Spirit,United Airlines
2015,1,"1,529,707","640,114","5,140,185","7,770,744","857,978","750,326","2,154,498","9,891,576","1,140,750","4,804,539"
2015,2,"1,468,717","661,268","4,684,026","7,621,569","748,777","699,853","2,014,931","9,402,954","1,087,853","4,607,021"
2015,3,"1,799,791","934,568","5,730,340","9,898,585","907,703","793,652","2,497,416","12,354,567","1,319,696","5,776,714"
2015,4,"1,702,382","757,379","5,688,230","9,537,737","916,541","732,346","2,425,597","12,021,031","1,286,498","5,511,339"
2015,5,"1,808,234","744,755","5,704,600","10,018,605","1,058,978","794,611","2,473,838","12,380,510","1,383,053","5,984,499"
2015,6,"1,910,734","940,305","5,938,232","10,447,049","1,069,575","853,616","2,452,560","12,694,097","1,321,721","6,231,940"
2015,7,"2,061,564","1,053,079","11,012,728","10,866,964","1,103,745","903,324","2,645,339","13,387,625","1,471,437","6,451,029"
2015,8,"2,068,354","811,710","10,562,351","10,643,803","1,075,190","875,489","2,607,840","12,435,731","1,438,751","6,273,013"
2015,9,"1,729,247","534,992","9,394,625","9,310,805","1,064,497","749,740","2,192,625","11,424,637","1,305,703","5,655,459"
2015,10,"1,747,028","729,851","10,202,478","10,186,485","1,169,556","805,797","2,407,418","12,373,023","1,407,825","6,329,169"
2015,11,"1,696,977","761,156","9,500,290","9,470,271","1,104,437","753,297","2,390,905","11,917,933","1,369,103","5,740,177"
2015,12,"1,799,382","845,407","9,721,932","9,131,393","1,153,957","804,459","2,544,915","12,123,894","1,450,001","5,813,742"
2016,1,"1,646,661","733,034","9,044,128","8,471,686","999,682","784,112","2,361,374","10,695,153","1,449,416","5,055,420"
2016,2,"1,590,540","800,350","8,630,105","8,331,767","968,489","756,878","2,344,496","10,378,380","1,405,753","4,973,238"
2016,3,"1,918,736","1,048,923","10,231,931","10,207,835","1,043,458","828,139","2,716,571","12,862,493","1,649,161","5,923,783"
2016,4,"1,853,029","847,491","9,612,141","9,886,117","1,018,794","777,251","2,562,863","12,366,059","1,567,748","5,729,928"
2016,5,"1,962,402","886,532","10,283,822","10,702,739","1,167,600","822,764","2,700,059","12,996,806","1,536,304","6,293,618"
2016,6,"2,042,143","1,135,251","10,576,237","10,801,557","1,234,718","869,290","2,685,827","13,333,765","1,686,495","6,592,185"
2016,7,"2,141,495","1,249,037","10,707,983","10,934,957","1,402,105","929,485","2,812,030","13,307,476","1,788,324","6,767,029"
2016,8,"2,169,693","933,101","10,094,479","10,332,267","1,349,217","878,609","2,778,076","12,690,000","1,737,164","6,788,195"
2016,9,"1,803,356","739,661","9,213,005","9,712,323","1,275,476","767,484","2,416,554","12,132,315","1,517,749","6,337,483"
2016,10,"1,799,719","864,677","9,669,243","10,384,814","1,300,188","810,824","2,532,802","12,821,619","1,576,626","6,790,121"
2016,11,"1,820,053","860,540","9,228,542","9,858,408","1,180,536","757,234","2,597,905","12,689,307","1,599,885","6,297,085"
2016,12,"1,868,147","975,957","9,334,761","9,373,077","1,164,902","810,168","2,714,148","12,547,225","1,668,424","6,232,029"
2017,1,"1,731,548","856,610","8,850,729","8,526,218","1,125,268","808,177","2,648,950","11,037,315","1,620,115","5,577,898"
2017,2,"1,625,266","863,289","8,313,772","8,243,904","1,041,222","717,673","2,383,341","10,406,350","1,578,845","5,254,113"
2017,3,"2,039,935","1,150,127","10,234,502","10,589,367","1,252,015","818,203","2,846,297","13,268,282","1,881,321","6,712,764"
2017,4,"2,015,065","1,017,634","9,606,283","9,684,786","1,226,476","784,138","2,808,967","13,121,976","1,789,723","6,478,750"
2017,5,"2,124,095","1,019,537","10,136,949","10,813,517","1,337,628","845,085","2,800,053","13,381,479","1,864,844","6,914,319"
2017,6,"2,165,782","1,254,544","10,253,686","10,968,903","1,421,202","889,237","2,790,054","13,873,458","1,938,607","7,409,256"
2017,7,"2,271,059","1,337,271","10,476,594","11,309,402","1,532,220","934,811","2,906,813","14,194,967","2,058,700","7,680,435"
2017,8,"2,248,501","1,018,630","10,366,917","11,309,630","1,420,092","895,375","2,883,324","13,316,907","2,056,677","7,404,363"
2017,9,"1,947,134","664,474","8,844,642","9,416,969","1,251,976","787,799","2,282,646","11,730,577","1,606,774","6,366,060"
2017,10,"1,957,658","1,005,777","10,184,330","10,725,324","1,426,373","842,252","2,645,260","13,249,770","1,905,738","7,100,764"
2017,11,"1,930,272","968,227","9,486,559","9,968,774","1,429,239","827,608","2,636,597","13,253,765","1,822,329","6,803,531"
2017,12,"2,007,165","1,075,301","9,716,423","9,178,087","1,506,636","880,248","2,762,046","12,974,166","1,847,600","6,732,130"
2018,1,"1,773,777","937,298","9,031,178","8,569,504","1,409,902","844,748","2,542,390","11,656,512","1,805,542","5,765,091"
2018,2,"1,745,954","998,933","8,753,570","8,572,978","1,318,540","782,924","2,512,048","10,920,661","1,845,812","5,500,603"
2018,3,"2,098,198","1,364,517","10,422,226","10,898,772","1,522,011","887,046","2,972,928","13,899,027","2,282,932","6,908,921"
2018,4,"2,829,912","1,162,182","9,879,265","10,458,858","1,462,819","839,315","2,951,238","13,396,982","2,121,765","6,997,037"
2018,5,"2,996,140","1,141,981","10,356,532","11,042,700","1,627,716","886,581","2,995,190","14,040,465","2,255,978","7,416,877"
2018,6,"3,097,472","1,403,268","10,635,376","11,433,287","1,643,538","917,753","2,964,246","14,252,320","2,377,444","7,953,658"
2018,7,"3,227,859","1,525,946","10,882,459","11,918,888","1,718,913","966,306","3,078,555","14,456,159","2,514,193","8,359,598"
2018,8,"3,097,177","1,177,401","10,584,430","11,932,518","1,634,566","877,949","3,045,516","13,593,160","2,485,456","8,124,419"
2018,9,"2,639,054","783,782","9,004,336","10,028,453","1,537,040","779,112","2,570,632","12,231,041","2,044,766","6,958,417"
2018,10,"2,742,086","1,067,024","10,268,808","11,070,334","1,652,365","845,491","2,773,261","13,766,257","2,130,047","7,660,817"
2018,11,"2,633,282","1,071,331","9,888,304","10,544,475","1,553,989","819,647","2,751,673","13,627,166","2,188,782","7,199,379"
2018,12,"2,612,031","1,069,680","9,764,388","10,002,045","1,587,208","858,481","2,807,627","13,205,219","2,266,452","7,051,231"
2019,1,"2,364,407","932,030","9,547,545","9,253,432","1,529,572","832,098","2,542,011","11,610,803","2,114,885","6,073,592"
2019,2,"2,208,201","1,019,118","9,234,530","8,864,116","1,415,168","759,636","2,496,709","11,053,351","2,072,328","5,801,648"
2019,3,"2,761,707","1,493,502","10,903,095","11,737,009","1,633,024","868,407","3,006,249","13,990,024","2,727,267","7,545,265"
2019,4,"2,715,954","1,277,198","10,162,370","11,237,133","1,581,816","831,063","2,910,881","13,359,857","2,479,891","7,345,606"
2019,5,"2,940,179","1,278,660","11,006,299","12,030,749","1,893,700","881,542","2,937,219","14,024,988","2,728,493","7,773,445"
2019,6,"3,084,489","1,605,437","10,931,036","12,517,894","1,950,794","878,526","2,868,488","14,001,624","2,724,474","8,068,838"
2019,7,"3,259,420","1,753,466","11,275,851","12,965,327","2,113,070","945,628","3,013,644","14,271,326","2,895,837","8,341,959"
2019,8,"3,216,357","1,251,828","11,052,004","12,693,732","2,016,283","918,329","2,943,235","13,520,089","2,801,628","7,987,309"
2019,9,"2,774,622","778,093","9,967,442","10,963,963","1,794,605","788,875","2,582,051","12,394,694","2,305,713","6,843,518"
2019,10,"2,806,762","1,115,393","10,783,388","11,859,504","1,996,858","848,416","2,829,931","13,752,707","2,606,419","7,542,338"
